QJ_JobNumber,QJ_WorkCenter,StepNo,QJ_PartNumber,PartDescription,Make_Qty,QtyOpen,StartDate,EndDate,RawMatl,QtyToMake,MaterialPartNo,SQIperPiece
68757-14,LASER QUE,10,J43450MY8M,BASE BACK PANEL,40,40,1/20/2026,1/20/2026,7GA X 72 X 144 - PO CBN GR50,"31,651.34",C50PO18072144,791.2836
68757-29,LASER QUE,10,J433MY8M-1,TANK BACK AND SIDES (J433MY8M) J433MZAN,39,27,11/13/2025,11/13/2025,7GA X 72 X 144 - PO CBN GR50,"279,936.00",C50PO18072144,10368
68739-30,LASER QUE,10,J433MZWM-1,TANK BACK AND SIDES (J433MZWM) J433M1M5  70.89 X 142.90,9,9,1/6/2026,1/6/2026,7GA X 72 X 144 - PO CBN,"100,288.80",C36PO18072144,11143.2
68778-30,LASER QUE,10,J433MZWM-1,TANK BACK AND SIDES (J433MZWM) J433M1M5  70.89 X 142.90,6,6,1/19/2026,1/19/2026,7GA X 72 X 144 - PO CBN,"66,859.20",C36PO18072144,11143.2
68757-13,LASER QUE,10,J43401MY8M,BASE FRONT PANEL,40,40,1/21/2026,1/21/2026,7GA X 72 X 120 - PO CBN GR50 (BUILDING MATERIAL),"15,837.36",C50PO18072120B,395.934
68757-21,LASER QUE,10,J433MY8M-2,TANK FRONT AND BOTTOM (J433MZAN) REF J433MY8M,40,40,11/12/2025,11/12/2025,7GA X 72 X 120 - PO CBN GR50 (BUILDING MATERIAL),"334,370.96",C50PO18072120B,8359.274
68739-24,LASER QUE,10,J433MZWM-2,TANK FRONT AND BOTTOM (J433M1M5) REF J433MZWM  70.00 X 108.56,9,9,1/6/2026,1/6/2026,7GA X 72 X 120 - PO CBN,"75,232.08",C36PO18072120,8359.12
68778-24,LASER QUE,10,J433MZWM-2,TANK FRONT AND BOTTOM (J433M1M5) REF J433MZWM  70.00 X 108.56,6,6,1/16/2026,1/19/2026,7GA X 72 X 120 - PO CBN,"50,154.72",C36PO18072120,8359.12
68757-15,LASER QUE,20,15H210A020,2.00 X 21.00 X .179 CARBON,80,80,11/20/2025,11/20/2025,7GA X 60 X 120 - PO CBN GR50,"7,392.00",C50PO18060120,92.4
68757-16,LASER QUE,20,15H230A020,2.00 X 23.00 X .179 CARBON,160,160,11/20/2025,11/20/2025,7GA X 60 X 120 - PO CBN GR50,"16,192.00",C50PO18060120,101.2
68739-25,LASER QUE,20,15S3302511G,33.00 X 2.50 X 1.10 CHANNEL (3PH TANKS),27,27,1/7/2026,1/7/2026,7GA X 60 X 120 - PO CBN GR50,"4,187.70",C50PO18060120,155.1
68756-25,LASER QUE,20,15S3302511G,33.00 X 2.50 X 1.10 CHANNEL (3PH TANKS),36,36,12/31/2025,12/31/2025,7GA X 60 X 120 - PO CBN GR50,"5,583.60",C50PO18060120,155.1
68757-22,LASER QUE,20,15S3302511G,33.00 X 2.50 X 1.10 CHANNEL (3PH TANKS),80,80,11/20/2025,11/20/2025,7GA X 60 X 120 - PO CBN GR50,"12,408.00",C50PO18060120,155.1
68778-25,LASER QUE,20,15S3302511G,33.00 X 2.50 X 1.10 CHANNEL (3PH TANKS),18,18,1/19/2026,1/19/2026,7GA X 60 X 120 - PO CBN GR50,"2,791.80",C50PO18060120,155.1
68739-18,LASER QUE,20,15S3502511F,35.00 X 2.50 X 1.10 CHANNEL (3PH TANKS),27,27,1/7/2026,1/7/2026,7GA X 60 X 120 - PO CBN GR50,"4,441.50",C50PO18060120,164.5
68739-26,LASER QUE,20,15S3502511F,35.00 X 2.50 X 1.10 CHANNEL (3PH TANKS),54,54,1/7/2026,1/7/2026,7GA X 60 X 120 - PO CBN GR50,"8,883.00",C50PO18060120,164.5
68756-18,LASER QUE,20,15S3502511F,35.00 X 2.50 X 1.10 CHANNEL (3PH TANKS),36,36,12/31/2025,12/31/2025,7GA X 60 X 120 - PO CBN GR50,"5,922.00",C50PO18060120,164.5
68756-26,LASER QUE,20,15S3502511F,35.00 X 2.50 X 1.10 CHANNEL (3PH TANKS),72,72,12/31/2025,12/31/2025,7GA X 60 X 120 - PO CBN GR50,"11,844.00",C50PO18060120,164.5
68757-17,LASER QUE,20,15S3502511F,35.00 X 2.50 X 1.10 CHANNEL (3PH TANKS),120,120,11/20/2025,11/20/2025,7GA X 60 X 120 - PO CBN GR50,"19,740.00",C50PO18060120,164.5
68757-23,LASER QUE,20,15S3502511F,35.00 X 2.50 X 1.10 CHANNEL (3PH TANKS),240,240,11/20/2025,11/20/2025,7GA X 60 X 120 - PO CBN GR50,"39,480.00",C50PO18060120,164.5
68778-18,LASER QUE,20,15S3502511F,35.00 X 2.50 X 1.10 CHANNEL (3PH TANKS),18,18,1/19/2026,1/19/2026,7GA X 60 X 120 - PO CBN GR50,"2,961.00",C50PO18060120,164.5
68778-26,LASER QUE,20,15S3502511F,35.00 X 2.50 X 1.10 CHANNEL (3PH TANKS),36,36,1/19/2026,1/19/2026,7GA X 60 X 120 - PO CBN GR50,"5,922.00",C50PO18060120,164.5
68739-27,LASER QUE,20,15S6902511F,69.00 X 2.50 X 1.10 CHANNEL (3PH TANKS),54,54,1/7/2026,1/7/2026,7GA X 60 X 120 - PO CBN GR50,"17,512.20",C50PO18060120,324.3
68756-27,LASER QUE,20,15S6902511F,69.00 X 2.50 X 1.10 CHANNEL (3PH TANKS),72,72,12/31/2025,12/31/2025,7GA X 60 X 120 - PO CBN GR50,"23,349.60",C50PO18060120,324.3
68757-24,LASER QUE,20,15S6902511F,69.00 X 2.50 X 1.10 CHANNEL (3PH TANKS),240,240,11/19/2025,11/20/2025,7GA X 60 X 120 - PO CBN GR50,"77,832.00",C50PO18060120,324.3
68778-27,LASER QUE,20,15S6902511F,69.00 X 2.50 X 1.10 CHANNEL (3PH TANKS),36,36,1/19/2026,1/19/2026,7GA X 60 X 120 - PO CBN GR50,"11,674.80",C50PO18060120,324.3
68739-28,LASER QUE,10,1A63369H01,ERMA BOLT-IN BRACKET,36,36,1/7/2026,1/7/2026,7GA X 60 X 120 - PO CBN GR50,590.52,C50PO18060120,16.4032
68756-28,LASER QUE,10,1A63369H01,ERMA BOLT-IN BRACKET,48,48,12/31/2025,12/31/2025,7GA X 60 X 120 - PO CBN GR50,787.35,C50PO18060120,16.4032
68757-25,LASER QUE,10,1A63369H01,ERMA BOLT-IN BRACKET,160,160,11/20/2025,11/20/2025,7GA X 60 X 120 - PO CBN GR50,"2,624.51",C50PO18060120,16.4032
68778-28,LASER QUE,10,1A63369H01,ERMA BOLT-IN BRACKET,24,24,1/19/2026,1/19/2026,7GA X 60 X 120 - PO CBN GR50,393.68,C50PO18060120,16.4032
68764-01,LASER QUE,20,31889490,FUEL FILL BRACKET  7 GA HRCQ 5.192 X 29.972,60,60,1/8/2026,1/8/2026,7GA X 60 X 120 - PO CBN GR50,"10,265.92",C50PO18060120,171.0987
67833-24,LASER QUE,20,GT AXLE HANGER 1,GT Axle Hanger 3.0 x 7.6,8,8,1/13/2026,1/13/2026,7GA X 60 X 120 - PO CBN GR50,200.64,C50PO18060120,25.08
68720-01,LASER QUE,20,3A47919H01,PALO ALTO EXT. ANCHOR BRKT  4.50 X 3.00 X .179 MSTL,90,90,1/23/2026,1/23/2026,7GA X 60 X 120 - PO CBN GR50,"1,336.50",C50PO18060120,14.85
68739-04,LASER QUE,10,30C7643H01,"FULL HT EXT 70"" TNK 2"" HV EXT (EXTENSION PANEL)",9,9,1/12/2026,1/12/2026,7GA X 60 X 120 - CBN,"2,192.55",C5018060120,243.6168
68756-04,LASER QUE,10,30C7643H01,"FULL HT EXT 70"" TNK 2"" HV EXT (EXTENSION PANEL)",12,12,1/7/2026,1/7/2026,7GA X 60 X 120 - CBN,"2,923.40",C5018060120,243.6168
68778-04,LASER QUE,10,30C7643H01,"FULL HT EXT 70"" TNK 2"" HV EXT (EXTENSION PANEL)",6,6,1/21/2026,1/21/2026,7GA X 60 X 120 - CBN,"1,461.70",C5018060120,243.6168
68463-23,LASER QUE,20,WH WHEEL FLAT,Worm Hopper Wheel Flat  11.89 x 46.65,2,2,1/6/2026,1/6/2026,5/8'' X 60 X 120 - CBN,"1,220.27",C3662560120,610.1354
